step	HT	err
814	-0.218915	0.00199758
815	0.0970164	0.00249132
816	0.0206459	0.00193737
817	0.0578915	0.00199219
818	-0.150243	0.0049194
819	0.133925	0.00721408
820	0.133925	0.00721408
821	0.370021	0.0118512
822	0.413234	0.00895497
823	0.398236	0.0136522
824	0.398236	0.0136522
825	-0.309096	0.00307095
826	0.165754	0.00705204
827	-0.326997	0.00249909
828	-0.262563	0.00370536
829	-0.262563	0.00370536
830	-0.0215473	0.00623154
831	-0.240734	0.00161024
832	-0.168038	0.00500517
833	-0.24657	0.00203175
834	-0.24657	0.00203175
835	0.0768029	0.00221557
836	0.0768029	0.00221557
837	0.0768029	0.00221557
838	-0.251021	0.00242277
839	-0.0921898	0.00603044
840	-0.343341	0.00186289
841	-0.294373	0.00312733
842	-0.294373	0.00312733
843	-0.294373	0.00312733
844	-0.294373	0.00312733
845	-0.0624915	0.00344927
846	-0.0624915	0.00344927
847	-0.0624915	0.00344927
848	-0.0624915	0.00344927
849	-0.383059	0.00185563
850	-0.383059	0.00185563
851	-0.383059	0.00185563
852	-0.383059	0.00185563
853	-0.424116	0.00149691
854	-0.424116	0.00149691
855	-0.383881	0.001914
856	-0.383881	0.001914
857	-0.383881	0.001914
858	-0.359143	0.00185994
859	-0.359143	0.00185994
860	-0.375611	0.0019016
861	-0.375611	0.0019016
862	-0.243826	0.00331091
863	-0.243826	0.00331091
864	-0.257373	0.0016316
865	-0.257373	0.0016316
866	-0.29601	0.00170552
867	-0.29601	0.00170552
868	-0.29601	0.00170552
869	-0.400467	0.00162968
870	-0.400467	0.00162968
871	-0.191708	0.0045814
872	-0.245929	0.00305501
873	-0.245929	0.00305501
874	-0.245929	0.00305501
875	-0.245929	0.00305501
876	-0.180907	0.00152104
877	0.336596	0.00291369
878	-0.263081	0.00188225
879	0.15069	0.00844299
880	-0.207326	0.00398195
881	-0.184354	0.004349
882	-0.171297	0.00467359
883	0.303889	0.0106668
884	0.785056	0.0176248
885	1.1455	0.0207301
886	1.1455	0.0207301
887	-0.0115897	0.00682616
888	-0.109208	0.00547009
889	-0.109208	0.00547009
890	-0.109208	0.00547009
891	0.0201451	0.00707415
892	-0.167097	0.00429734
893	-0.264453	0.00201035
894	-0.239378	0.00284363
895	0.0542234	0.00229972
896	-0.137707	0.0054254
897	0.865326	0.018029
898	0.865326	0.018029
899	0.933344	0.0154082
900	0.933344	0.0154082
901	0.0195438	0.0045877
902	0.326912	0.00750117
903	-0.32404	0.00281794
904	-0.198128	0.00436121
905	0.855562	0.00864448
906	1.60304	0.0148747
907	0.587698	0.0143965
908	0.437272	0.0131869
909	0.437272	0.0131869
910	0.315291	0.0127282
911	-0.114324	0.00182443
912	-0.114324	0.00182443
913	0.302039	0.00991752
914	-0.1393	0.00526529
915	0.103028	0.00832285
916	0.816229	0.0168947
917	0.816229	0.0168947
918	0.143945	0.00783991
919	-0.308513	0.002347
920	-0.308513	0.002347
921	-0.249942	0.00250093
922	-0.249942	0.00250093
923	-0.253337	0.00204567
924	-0.213783	0.00333553
925	-0.213783	0.00333553
926	-0.236919	0.00323851
927	-0.0947789	0.00182162
928	-0.265281	0.00153443
929	-0.258785	0.001431
930	-0.0300873	0.00806929
931	-0.181078	0.00424834
932	-0.181078	0.00424834
933	-0.228836	0.0030739
934	-0.224126	0.00297953
935	-0.157716	0.00583093
936	-0.157716	0.00583093
937	-0.157716	0.00583093
938	1.14914	0.0214417
939	-0.243523	0.00184684
940	0.0410945	0.00200425
941	0.0410945	0.00200425
942	-0.117637	0.00183616
943	-0.158139	0.00184048
944	0.369776	0.00247366
945	0.369776	0.00247366
946	0.939436	0.00444199
947	-0.194572	0.00152877
948	-0.194572	0.00152877
949	0.365556	0.00290993
950	0.113823	0.00235951
951	0.113823	0.00235951
952	2.13902	0.0107566
953	2.13902	0.0107566
954	-0.0903736	0.00198439
955	-0.112274	0.00523147
956	0.67409	0.0193483
957	0.780351	0.0173776
958	-0.128143	0.0054602
959	-0.1995	0.00154836
960	-0.246178	0.00187226
961	-0.246178	0.00187226
962	-0.246178	0.00187226
963	0.212745	0.0110685
964	-0.212185	0.00351881
965	-0.255258	0.00181238
966	-0.228862	0.00331676
967	-0.228862	0.00331676
968	-0.231152	0.00311201
969	-0.152241	0.00434218
970	-0.152241	0.00434218
971	-0.095629	0.00657207
972	-0.238627	0.00342258
973	-0.238627	0.00342258
974	-0.238627	0.00342258
975	0.0611932	0.00227688
976	0.647512	0.00362427
977	-0.077141	0.00195871
978	0.857834	0.00495016
979	-0.245117	0.00272789
980	-0.254808	0.00197476
981	0.158142	0.00818119
982	-0.438089	0.000656158
983	-0.438089	0.000656158
984	0.0588941	0.00508606
985	-0.358844	0.00230031
986	-0.406595	0.000830885
987	-0.156326	0.00514208
988	-0.279148	0.00187896
989	-0.279148	0.00187896
990	0.582195	0.0104642
991	-0.0296993	0.00366784
992	-0.376079	0.00215728
993	0.10535	0.00423934
994	-0.361058	0.00218272
995	-0.126346	0.00505203
996	0.240386	0.0109987
997	-0.277876	0.00214975
998	-0.221576	0.00126623
999	0.0455332	0.00551988
1000	-0.343632	0.00220058
1001	-0.343632	0.00220058
1002	0.339352	0.00810011
1003	0.491873	0.0037293
1004	0.491873	0.0037293
1005	0.491873	0.0037293
1006	0.501734	0.00474591
1007	0.501734	0.00474591
1008	-0.345038	0.00225435
1009	0.480108	0.0102254
1010	0.778463	0.018857
1011	0.778463	0.018857
1012	0.778463	0.018857
1013	0.778463	0.018857
1014	0.778463	0.018857
1015	0.778463	0.018857
