step	mu	sigma
693	0.535761	0.604536
694	0.0704489	0.529309
695	0.535043	0.782057
696	0.535043	0.782057
697	0.957829	0.775116
698	0.883852	0.592736
699	1.06162	0.811566
700	0.89209	0.767629
701	0.930073	0.899665
702	0.820264	0.428674
703	0.932109	0.579209
704	0.932109	0.579209
705	0.558143	0.865585
706	0.973376	0.657147
707	0.973376	0.657147
708	0.973376	0.657147
709	0.526316	0.799785
710	0.750518	0.762072
711	0.834771	0.61433
712	0.530193	1.06267
713	0.391401	1.12316
714	0.175052	1.5368
715	0.175052	1.5368
716	0.175052	1.5368
717	0.221349	1.71261
718	0.221349	1.71261
719	0.221349	1.71261
720	0.221349	1.71261
721	0.321428	1.60365
722	0.68512	1.40569
723	0.799516	1.11486
724	0.799516	1.11486
725	0.799516	1.11486
726	0.799516	1.11486
727	0.799516	1.11486
728	0.799516	1.11486
729	0.799516	1.11486
730	0.928352	0.808768
731	0.928352	0.808768
732	0.453518	0.797031
733	0.1695	1.15458
734	0.318627	1.13552
735	0.161198	1.08123
736	0.161198	1.08123
737	0.161198	1.08123
738	0.359067	1.42796
739	0.496045	1.36464
740	0.775292	1.0222
741	0.804695	1.08921
742	0.651306	1.41237
743	0.651306	1.41237
744	0.651306	1.41237
745	0.576537	1.20997
746	0.515858	1.06454
747	0.46699	1.06192
748	0.531716	0.577245
749	0.531716	0.577245
750	0.538061	0.739787
751	0.538061	0.739787
752	0.597691	1.23738
753	0.802513	1.30208
754	0.802513	1.30208
755	0.802513	1.30208
756	0.802513	1.30208
757	0.467197	0.87979
758	0.43967	0.798081
759	0.501709	1.06895
760	0.341787	1.17602
761	0.421679	1.05719
762	0.481678	0.974445
763	0.481678	0.974445
764	0.605881	0.669575
765	0.605881	0.669575
766	0.454583	0.382258
767	0.46369	0.426923
768	0.902309	0.488148
769	1.13192	0.822876
770	1.13192	0.822876
771	1.32277	0.474707
772	1.06554	0.599415
773	1.06554	0.599415
774	0.927092	0.868635
775	0.880556	0.988093
776	0.585631	0.697756
777	0.655723	1.01633
778	0.367816	0.93143
779	0.220098	0.900586
780	0.220098	0.900586
781	0.220098	0.900586
782	0.220098	0.900586
783	0.375238	0.593425
784	0.827349	0.709135
785	0.612445	0.59269
786	0.612445	0.59269
787	0.612445	0.59269
788	0.612445	0.59269
789	0.177527	0.679236
790	0.356611	0.721929
791	0.106451	0.537106
792	0.00468964	0.670834
793	0.0193519	0.745707
794	0.43743	0.987068
795	0.551214	1.27211
796	0.890038	1.15363
797	0.890038	1.15363
798	0.893691	0.945851
799	0.840729	0.862866
800	0.769578	1.03128
801	0.769578	1.03128
802	0.557505	0.983091
803	0.184219	0.976471
